N;K;count_it;start;end;result;mod
2048;10;9;642833858516775;642833858678649;7.90;reverse
2048;10;0;642833858793847;642833858956605;7.95;random
2048;10;1;642833858978482;642833859140612;7.92;random
2048;10;2;642833859162198;642833859328974;8.14;random
2048;10;3;642833859352232;642833859514119;7.90;random
2048;10;4;642833859536198;642833859698036;7.90;random
2048;10;5;642833859720095;642833859882571;7.93;random
2048;10;6;642833859904407;642833860067145;7.95;random
2048;10;7;642833860088808;642833860250658;7.90;random
2048;10;8;642833860272496;642833860434888;7.93;random
2048;10;9;642833860456446;642833860618298;7.90;random
4096;10;0;642833860682053;642833861006785;7.93;forward
4096;10;1;642833861045756;642833861370096;7.92;forward
4096;10;2;642833861409646;642833861733793;7.91;forward
4096;10;3;642833861772021;642833862097497;7.95;forward
4096;10;4;642833862135256;642833862459721;7.92;forward
4096;10;5;642833862497586;642833862821229;7.90;forward
4096;10;6;642833862858685;642833863183153;7.92;forward
4096;10;7;642833863220997;642833863544953;7.91;forward
4096;10;8;642833863586765;642833863910911;7.91;forward
4096;10;9;642833863948949;642833864272602;7.90;forward
4096;10;0;642833864313729;642833864638264;7.92;reverse
4096;10;1;642833864676382;642833865000314;7.91;reverse
4096;10;2;642833865038259;642833865362770;7.92;reverse
4096;10;3;642833865400724;642833865724355;7.90;reverse
4096;10;4;642833865762193;642833866086362;7.91;reverse
4096;10;5;642833866123944;642833866447608;7.90;reverse
4096;10;6;642833866484838;642833866809004;7.91;reverse
4096;10;7;642833866846714;642833867170343;7.90;reverse
4096;10;8;642833867208162;642833867532344;7.91;reverse
4096;10;9;642833867571880;642833867896070;7.91;reverse
4096;10;0;642833868116300;642833868440800;7.92;random
4096;10;1;642833868478890;642833868803104;7.92;random
4096;10;2;642833868840879;642833869168046;7.99;random
4096;10;3;642833869205921;642833869529904;7.91;random
4096;10;4;642833869567758;642833869891964;7.92;random
4096;10;5;642833869929654;642833870253329;7.90;random
4096;10;6;642833870291305;642833870615434;7.91;random
4096;10;7;642833870653049;642833870976710;7.90;random
4096;10;8;642833871014495;642833871339585;7.94;random
4096;10;9;642833871377742;642833871701348;7.90;random
8192;10;0;642833871847420;642833872495756;7.91;forward
8192;10;1;642833872799538;642833873448357;7.92;forward
8192;10;2;642833873519289;642833874166679;7.90;forward
8192;10;3;642833874238418;642833874886667;7.91;forward
8192;10;4;642833874957773;642833875606049;7.91;forward
8192;10;5;642833875676555;642833876326279;7.93;forward
8192;10;6;642833876396818;642833877059105;8.08;forward
8192;10;7;642833877134538;642833877765942;7.71;forward
8192;10;8;642833877833387;642833878428103;7.26;forward
8192;10;9;642833878491811;642833879078359;7.16;forward
8192;10;0;642833879152256;642833879738592;7.16;reverse
8192;10;1;642833879807362;642833880382285;7.02;reverse
8192;10;2;642833880444049;642833881003541;6.83;reverse
8192;10;3;642833881063766;642833881603820;6.59;reverse
8192;10;4;642833881662009;642833882198233;6.55;reverse
8192;10;5;642833882256680;642833882777635;6.36;reverse
8192;10;6;642833882833145;642833883346304;6.26;reverse
8192;10;7;642833883402033;642833883904649;6.14;reverse
8192;10;8;642833883957379;642833884450731;6.02;reverse
8192;10;9;642833884503557;642833884991108;5.95;reverse
8192;10;0;642833885311639;642833885775715;5.66;random
8192;10;1;642833885826509;642833886353315;6.43;random
8192;10;2;642833886404466;642833886847971;5.41;random
8192;10;3;642833886895964;642833887337283;5.39;random
8192;10;4;642833887385611;642833887819453;5.30;random
8192;10;5;642833887865152;642833888287256;5.15;random
8192;10;6;642833888331613;642833888742557;5.02;random
8192;10;7;642833888787068;642833889198857;5.03;random
8192;10;8;642833889243632;642833889654789;5.02;random
8192;10;9;642833889699590;642833890091246;4.78;random
16384;10;0;642833890214453;642833890969227;4.61;forward
16384;10;1;642833891047593;642833891792200;4.54;forward
16384;10;2;642833891868088;642833892592090;4.42;forward
16384;10;3;642833892667639;642833893370825;4.29;forward
16384;10;4;642833893441967;642833894180290;4.51;forward
16384;10;5;642833894250968;642833894916454;4.06;forward
16384;10;6;642833894985754;642833895902449;5.60;forward
16384;10;7;642833896005815;642833896632754;3.83;forward
16384;10;8;642833896698695;642833897299057;3.66;forward
16384;10;9;642833897362552;642833897973788;3.73;forward
16384;10;0;642833898037782;642833898596918;3.41;reverse
16384;10;1;642833898655473;642833899214884;3.41;reverse
16384;10;2;642833899272906;642833899848979;3.52;reverse
16384;10;3;642833899911753;642833900512219;3.66;reverse
16384;10;4;642833900574905;642833901146082;3.49;reverse
16384;10;5;642833901204233;642833901763617;3.41;reverse
16384;10;6;642833901821692;642833902380816;3.41;reverse
16384;10;7;642833902438949;642833902998288;3.41;reverse
16384;10;8;642833903056406;642833903615532;3.41;reverse
16384;10;9;642833903673615;642833904232940;3.41;reverse
16384;10;0;642833904632441;642833905449060;4.98;random
16384;10;1;642833905533670;642833906350074;4.98;random
16384;10;2;642833906434137;642833907266913;5.08;random
16384;10;3;642833907357687;642833908216264;5.24;random
16384;10;4;642833908307268;642833909139055;5.08;random
16384;10;5;642833909223393;642833910039090;4.98;random
16384;10;6;642833910123464;642833910938529;4.97;random
16384;10;7;642833911022958;642833911838659;4.98;random
16384;10;8;642833911922717;642833912737821;4.97;random
16384;10;9;642833912824815;642833913640559;4.98;random
32768;10;0;642833913810686;642833914946340;3.47;forward
32768;10;1;642833915060967;642833916179108;3.41;forward
32768;10;2;642833916293504;642833917411914;3.41;forward
32768;10;3;642833917525950;642833918644174;3.41;forward
32768;10;4;642833918758375;642833919876842;3.41;forward
32768;10;5;642833919990996;642833921109209;3.41;forward
32768;10;6;642833921223465;642833922341845;3.41;forward
32768;10;7;642833922456111;642833923574296;3.41;forward
32768;10;8;642833923688554;642833924807015;3.41;forward
32768;10;9;642833924921167;642833926039423;3.41;forward
32768;10;0;642833926184736;642833927303193;3.41;reverse
32768;10;1;642833927418272;642833928536536;3.41;reverse
32768;10;2;642833928650570;642833929795419;3.49;reverse
32768;10;3;642833929909919;642833931028183;3.41;reverse
32768;10;4;642833931142455;642833932281344;3.48;reverse
32768;10;5;642833932439757;642833933590215;3.51;reverse
32768;10;6;642833933705531;642833934823720;3.41;reverse
32768;10;7;642833934938164;642833936056349;3.41;reverse
